experiment,experiment_version,condition_id,measurement_role,pauli_string,circuit_index,circuit_name,qpy_relpath,qpy_sha256,source_qpy_path,source_export_notebook,source_export_cell,source_export_cell_hash,executed_job_count,expected_shots_aggregate,actual_shots_aggregate
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XXX,0,00_Data_zeromagic_theta_0000_mu_000_bound_XXX_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/00_Data_zeromagic_theta_0000_mu_000_bound_XXX_rx000_ry000_rz000_xx000.qpy,02ab3d3672f99ef9461e86b7d9ad3ceee498faec15032c4fec4f5df561db2b8c,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/00_Data_zeromagic_theta_0000_mu_000_bound_XXX_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XXY,1,01_Data_zeromagic_theta_0000_mu_000_bound_XXY_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/01_Data_zeromagic_theta_0000_mu_000_bound_XXY_rx000_ry000_rz000_xx000.qpy,d0e5f542b2438cd3542408b313b84733c62b904f8b3b6e0be1cbd2c9fa25052f,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/01_Data_zeromagic_theta_0000_mu_000_bound_XXY_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XXZ,2,02_Data_zeromagic_theta_0000_mu_000_bound_XXZ_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/02_Data_zeromagic_theta_0000_mu_000_bound_XXZ_rx000_ry000_rz000_xx000.qpy,3cb78258f2ab33d802aa2d91652709d58c15647af12ebdf7e952bc1c94458306,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/02_Data_zeromagic_theta_0000_mu_000_bound_XXZ_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XYX,3,03_Data_zeromagic_theta_0000_mu_000_bound_XYX_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/03_Data_zeromagic_theta_0000_mu_000_bound_XYX_rx000_ry000_rz000_xx000.qpy,165c15bcc42b7eb0d8a514a53b5827217d84f822e95687d366d194b603a2cb3b,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/03_Data_zeromagic_theta_0000_mu_000_bound_XYX_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XYY,4,04_Data_zeromagic_theta_0000_mu_000_bound_XYY_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/04_Data_zeromagic_theta_0000_mu_000_bound_XYY_rx000_ry000_rz000_xx000.qpy,952e8403d5e44a62bfcebd7c8278351fd17da9fc964d49573b090c8cf6195ed7,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/04_Data_zeromagic_theta_0000_mu_000_bound_XYY_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XYZ,5,05_Data_zeromagic_theta_0000_mu_000_bound_XYZ_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/05_Data_zeromagic_theta_0000_mu_000_bound_XYZ_rx000_ry000_rz000_xx000.qpy,7a6b0a426a49da24a04cd784811342a8e895c64a23cb08b2bf62974adbbce25b,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/05_Data_zeromagic_theta_0000_mu_000_bound_XYZ_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XZX,6,06_Data_zeromagic_theta_0000_mu_000_bound_XZX_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/06_Data_zeromagic_theta_0000_mu_000_bound_XZX_rx000_ry000_rz000_xx000.qpy,f4ca3f66900bec7d5389e21c97c433a7f0f0e3be24678f08d70d14c92cd8086d,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/06_Data_zeromagic_theta_0000_mu_000_bound_XZX_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XZY,7,07_Data_zeromagic_theta_0000_mu_000_bound_XZY_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/07_Data_zeromagic_theta_0000_mu_000_bound_XZY_rx000_ry000_rz000_xx000.qpy,5dce8721cadc488cb903264127796a1783e5f407de419820d4250e6f11340028,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/07_Data_zeromagic_theta_0000_mu_000_bound_XZY_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,XZZ,8,08_Data_zeromagic_theta_0000_mu_000_bound_XZZ_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/08_Data_zeromagic_theta_0000_mu_000_bound_XZZ_rx000_ry000_rz000_xx000.qpy,526deeeed574f3957afb73bd53038615b60b8260ba62aa8cd8fda4deaea64ad9,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/08_Data_zeromagic_theta_0000_mu_000_bound_XZZ_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
SC8,sc8_2026_03_27_apr16_campaign,0000_000,shared_post_recovery,YXX,9,09_Data_zeromagic_theta_0000_mu_000_bound_YXX_rx000_ry000_rz000_xx000.qpy,data/executed_circuits/SC8/0000_000/09_Data_zeromagic_theta_0000_mu_000_bound_YXX_rx000_ry000_rz000_xx000.qpy,11f218137d3d0a0f87644bc34a4ec78ef2ad1cddcf65dad9f8c14031ccbf4720,holography-on-ionq/Testing flow/Circuits/Data_batch/Data_0000_000/09_Data_zeromagic_theta_0000_mu_000_bound_YXX_rx000_ry000_rz000_xx000.qpy,happy_ions/reduced_circuit_entropy.ipynb,SC8-C-C078,0403fbb0aaad5c68,11,2100,2100
